deal_id,account_name,segment,region,rep_id,stage,deal_value,close_date,created_date,product_line,loss_reason
OPP-001,Nexus Corp,Enterprise,West,REP-01,Closed Won,180000,2026-01-15,2025-10-12,Core Platform,
OPP-002,Altivus Group,Enterprise,West,REP-01,Closed Won,210000,2026-02-08,2025-11-03,Analytics Add-on,
OPP-003,Crestwood Partners,Enterprise,West,REP-01,Closed Won,130000,2026-03-05,2025-12-01,Core Platform,
OPP-004,Stratford Dynamics,Enterprise,West,REP-01,Closed Won,175000,2026-03-28,2026-01-10,Core Platform,
OPP-005,Pinnacle Health,Enterprise,West,REP-01,Proposal,95000,2026-04-15,2026-01-20,Analytics Add-on,
OPP-056,Northgate Industries,Enterprise,Central,REP-01,Proposal,220000,2026-04-25,2026-02-05,Security Module,
OPP-060,Sunridge Systems,Enterprise,West,REP-01,Closed Won,165000,2026-03-20,2026-02-18,Core Platform,
OPP-069,Waverly Capital,Enterprise,Northeast,REP-01,Proposal,110000,2026-04-25,2026-02-28,Analytics Add-on,
OPP-076,Cascade Financial,Enterprise,West,REP-01,Closed Won,112000,2026-03-19,2026-01-22,Analytics Add-on,
OPP-006,Clearwater Solutions,Enterprise,Central,REP-02,Closed Won,145000,2026-01-22,2025-10-18,Core Platform,
OPP-007,Vantage Technologies,Enterprise,Central,REP-02,Closed Won,195000,2026-02-14,2025-11-15,Analytics Add-on,
OPP-008,Ironbridge,Enterprise,Central,REP-02,Closed Lost,195000,2026-02-28,2025-11-20,Core Platform,No decision
OPP-009,Fulcrum Enterprises,Enterprise,Southeast,REP-02,Closed Lost,220000,2026-01-30,2025-10-25,Security Module,Competitor - Salesforce
OPP-010,Torchlight Capital,Enterprise,Central,REP-02,Closed Lost,120000,2026-03-31,2026-02-10,Core Platform,Budget freeze
OPP-011,Redstone Industries,Enterprise,Central,REP-02,Prospecting,250000,2026-04-30,2026-02-20,Analytics Add-on,
OPP-057,Vanguard Capital,Enterprise,West,REP-02,Discovery,180000,2026-05-10,2026-03-01,Core Platform,
OPP-070,Stonebridge Corp,Enterprise,Central,REP-02,Discovery,160000,2026-05-30,2026-03-10,Security Module,
OPP-077,Sterling Global,Enterprise,Central,REP-02,Closed Won,140000,2026-02-25,2025-11-28,Analytics Add-on,
OPP-078,Meridian Capital,Enterprise,Central,REP-02,Closed Won,135000,2026-03-15,2025-12-10,Security Module,
OPP-079,Constellation Corp,Enterprise,Central,REP-02,Closed Lost,450000,2026-03-31,2026-01-15,Core Platform,Competitor - SAP
OPP-012,Montclair Global,Enterprise,Northeast,REP-03,Closed Won,240000,2026-01-10,2025-09-28,Core Platform,
OPP-013,Apex Innovations,Enterprise,Northeast,REP-03,Closed Won,275000,2026-02-20,2025-11-08,Analytics Add-on,
OPP-014,Willow Creek Tech,Enterprise,Northeast,REP-03,Closed Won,195000,2026-03-12,2025-12-10,Security Module,
OPP-015,Sienna Health Systems,Enterprise,Northeast,REP-03,Closed Won,190000,2026-03-29,2026-01-15,Core Platform,
OPP-016,Blackwood Analytics,Enterprise,Northeast,REP-03,Proposal,130000,2026-04-10,2026-01-28,Analytics Add-on,
OPP-023,Summit Analytics,Enterprise,Northeast,REP-03,Closed Lost,160000,2026-03-10,2025-12-05,Analytics Add-on,Budget freeze
OPP-058,Cedarwood Partners,Enterprise,Southeast,REP-03,Proposal,155000,2026-04-30,2026-02-15,Security Module,
OPP-067,Briarwood Group,Enterprise,Central,REP-03,Closed Lost,145000,2026-01-15,2025-10-01,Core Platform,Competitor - Oracle
OPP-080,Cascade Analytics,Enterprise,Northeast,REP-03,Closed Won,248000,2026-03-22,2026-01-08,Analytics Add-on,
OPP-017,Harborview Corp,Enterprise,Southeast,REP-04,Closed Won,160000,2026-01-28,2025-10-30,Core Platform,
OPP-018,Cascadia Ventures,Enterprise,Southeast,REP-04,Closed Won,175000,2026-02-17,2025-11-22,Analytics Add-on,
OPP-019,Thornton Group,Enterprise,Southeast,REP-04,Closed Won,145000,2026-03-03,2025-12-15,Core Platform,
OPP-020,Everett Solutions,Enterprise,Southeast,REP-04,Closed Won,185000,2026-03-27,2026-01-12,Security Module,
OPP-021,Lakewood Systems,Enterprise,Southeast,REP-04,Closed Won,155000,2026-03-31,2026-01-25,Core Platform,
OPP-022,Galton Biotech,Enterprise,Central,REP-04,Discovery,200000,2026-04-20,2026-02-08,Analytics Add-on,
OPP-059,Altamont Corp,Enterprise,Southeast,REP-04,Discovery,180000,2026-05-15,2026-02-22,Security Module,
OPP-073,Pinecrest Industries,Enterprise,Southeast,REP-04,Discovery,140000,2026-05-20,2026-03-05,Core Platform,
OPP-024,Brentwood Retail,Mid-Market,West,REP-05,Closed Won,95000,2026-01-18,2025-10-20,Core Platform,
OPP-025,Coastal Logistics,Mid-Market,West,REP-05,Closed Won,125000,2026-02-11,2025-11-12,Analytics Add-on,
OPP-026,Fairfax Media,Mid-Market,West,REP-05,Closed Won,90000,2026-03-07,2025-12-08,Core Platform,
OPP-027,Norwood Partners,Mid-Market,West,REP-05,Closed Won,85000,2026-03-28,2026-01-18,Analytics Add-on,
OPP-028,Riverside Consulting,Mid-Market,Central,REP-05,Proposal,75000,2026-04-15,2026-01-30,Core Platform,
OPP-061,Westfield Consulting,Mid-Market,West,REP-05,Proposal,75000,2026-04-20,2026-02-12,Security Module,
OPP-081,Belmont Systems,Mid-Market,West,REP-05,Closed Won,95000,2026-03-19,2026-01-22,Security Module,
OPP-029,Denton Manufacturing,Mid-Market,Northeast,REP-06,Closed Won,90000,2026-01-25,2025-11-01,Core Platform,
OPP-030,Apex Retail,Mid-Market,Northeast,REP-06,Closed Won,90000,2026-02-28,2025-11-28,Analytics Add-on,
OPP-031,Brightfield Capital,Mid-Market,Northeast,REP-06,Closed Lost,110000,2026-02-15,2025-11-18,Core Platform,Went with incumbent
OPP-032,Halcyon Services,Mid-Market,Northeast,REP-06,Closed Lost,65000,2026-03-31,2026-02-05,Security Module,Budget freeze
OPP-033,Colfax Group,Mid-Market,Central,REP-06,Prospecting,80000,2026-04-30,2026-02-25,Core Platform,
OPP-062,Hawthorn Media,Mid-Market,Northeast,REP-06,Discovery,90000,2026-05-01,2026-03-08,Analytics Add-on,
OPP-071,Harmon Systems,Mid-Market,Central,REP-06,Prospecting,90000,2026-05-15,2026-03-15,Core Platform,
OPP-082,Fairchild Group,Mid-Market,Northeast,REP-06,Closed Won,115000,2026-02-10,2025-11-15,Core Platform,
OPP-083,Harborside Advisory,Mid-Market,Central,REP-06,Closed Won,85000,2026-03-15,2025-12-20,Analytics Add-on,
OPP-084,Beacon Partners,Mid-Market,Northeast,REP-06,Closed Won,90000,2026-03-05,2025-12-08,Security Module,
OPP-034,Overland Technologies,Mid-Market,Central,REP-07,Closed Won,140000,2026-01-12,2025-10-05,Core Platform,
OPP-035,Pemberton Retail,Mid-Market,Central,REP-07,Closed Won,120000,2026-02-05,2025-10-28,Analytics Add-on,
OPP-036,Sunrise Digital,Mid-Market,Central,REP-07,Closed Won,130000,2026-03-15,2025-12-20,Security Module,
OPP-037,Fieldstone Media,Mid-Market,Central,REP-07,Proposal,60000,2026-04-01,2026-01-22,Analytics Add-on,
OPP-038,Ashwood Corp,Mid-Market,Central,REP-07,Closed Won,55000,2026-03-26,2026-01-08,Core Platform,
OPP-063,Lexington Advisory,Mid-Market,Southeast,REP-07,Proposal,80000,2026-04-15,2026-02-10,Security Module,
OPP-068,Lakeshore Dynamics,Mid-Market,Southeast,REP-07,Closed Lost,88000,2026-02-22,2025-11-25,Core Platform,Budget freeze
OPP-085,Clearfield Fitness,Mid-Market,Central,REP-07,Closed Won,42000,2026-03-08,2025-12-22,Core Platform,
OPP-039,Benson Healthcare,Mid-Market,Southeast,REP-08,Closed Won,110000,2026-01-30,2025-11-05,Core Platform,
OPP-040,Cromwell Logistics,Mid-Market,Southeast,REP-08,Closed Won,110000,2026-02-20,2025-11-30,Analytics Add-on,
OPP-041,Pennington Group,Mid-Market,Southeast,REP-08,Closed Lost,95000,2026-02-10,2025-11-10,Security Module,No decision
OPP-042,Sterling Digital,Mid-Market,Southeast,REP-08,Closed Won,130000,2026-03-30,2026-01-15,Core Platform,
OPP-043,Waverly Health,Mid-Market,Southeast,REP-08,Closed Won,110000,2026-03-31,2026-01-20,Analytics Add-on,
OPP-044,Huntington Partners,Mid-Market,Central,REP-08,Proposal,85000,2026-04-12,2026-02-03,Security Module,
OPP-064,Fairmont Retail,Mid-Market,Southeast,REP-08,Discovery,70000,2026-05-20,2026-03-02,Core Platform,
OPP-074,Oakdale Tech,Mid-Market,Southeast,REP-08,Closed Won,78000,2026-03-28,2026-02-25,Analytics Add-on,
OPP-045,Maplewood Dental,SMB,West,REP-09,Closed Won,45000,2026-01-08,2025-10-15,Core Platform,
OPP-046,Clearview Staffing,SMB,West,REP-09,Closed Won,55000,2026-01-28,2025-11-02,Analytics Add-on,
OPP-047,Birchwood Realty,SMB,Central,REP-09,Closed Won,48000,2026-02-16,2025-12-01,Core Platform,
OPP-048,Lakeview Fitness,SMB,West,REP-09,Closed Won,42000,2026-03-11,2026-01-05,Security Module,
OPP-049,Redwood Services,SMB,West,REP-09,Closed Won,38000,2026-03-27,2026-01-28,Core Platform,
OPP-050,Hillcrest Plumbing,SMB,West,REP-09,Closed Won,30000,2026-03-29,2026-02-10,Analytics Add-on,
OPP-065,Millbrook Cafe,SMB,Central,REP-09,Prospecting,25000,2026-04-30,2026-03-01,Core Platform,
OPP-072,Foxhill Partners,SMB,West,REP-09,Proposal,65000,2026-04-30,2026-02-22,Security Module,
OPP-086,Pine Valley Dental,SMB,West,REP-09,Closed Won,18000,2026-03-19,2026-02-05,Core Platform,
OPP-051,Sunridge Bakery,SMB,Northeast,REP-10,Closed Won,40000,2026-02-03,2025-11-18,Core Platform,
OPP-052,Greenfield Auto,SMB,Northeast,REP-10,Closed Won,45000,2026-03-01,2025-12-12,Analytics Add-on,
OPP-053,Valley Dental,SMB,Northeast,REP-10,Closed Lost,35000,2026-01-20,2025-10-22,Core Platform,Price - too expensive
OPP-054,Riverside Cafe Group,SMB,Northeast,REP-10,Closed Lost,28000,2026-03-31,2026-02-15,Core Platform,No decision
OPP-055,Pineview Logistics,SMB,Central,REP-10,Prospecting,35000,2026-04-30,2026-02-28,Analytics Add-on,
OPP-066,Oakwood Fitness,SMB,Northeast,REP-10,Discovery,32000,2026-04-15,2026-03-05,Security Module,
OPP-075,Brightside Media,SMB,Northeast,REP-10,Proposal,55000,2026-04-15,2026-03-12,Core Platform,
OPP-087,Brookfield Media,SMB,Northeast,REP-10,Closed Won,72000,2026-02-22,2025-12-08,Analytics Add-on,
OPP-088,Riverside Catering,SMB,Northeast,REP-10,Closed Won,68000,2026-03-18,2026-01-15,Security Module,
